att,p.adj.npdr.nosex,pval.npdr.nosex,beta.npdr.nosex,beta.raw.att.x,pval.gene.sex,p.adj.gene.sex
PRKY,1.4299352273520223e-14,9.389554319732236e-19,8.765076635882961,1.4404918467428725,2.6204e-30,3.9816e-26
UTY,5.300259285657499e-14,3.480372503550791e-18,8.616201428893742,1.411593273310538,2.6801e-26,4.07e-22
EIF1AY,1.663494171290948e-13,1.0923200284266518e-17,8.484152864634284,1.3768983176779659,2.7111e-29,4.1192e-25
KDM5D,3.1029095834419147e-13,2.03750054727291e-17,8.411328092392534,1.3738704633708425,2.8297e-28,4.2987e-24
RPS4X,5.273990083315176e-13,3.463123043742318e-17,8.34887738770514,3.505575354128258,4.1622e-50,6.3361e-46
RPS4Y1,2.170150150397472e-12,1.425011589991117e-16,8.180068595164391,1.3570152621313947,5.0045e-31,7.6048e-27
TXLNG,1.0269591307021647e-11,6.74344428854268e-16,7.990585637329992,4.890948747648828,2.8983e-50,4.4127e-46
ZNF681,3.002587440878732e-11,1.9716248216420856e-15,7.85721572856337,3.310463215422127,1.1767e-4,1
NCRNA00185,3.422301339978302e-11,2.2472265677183676e-15,7.840800545155576,1.2128174558211948,3.5099e-22,5.3263e-18
DDX3Y,1.1954612364268628e-10,7.849899772978283e-15,7.682158668159675,1.2436752865526997,1.3985e-26,2.1239e-22
USP9Y,2.1504427644742166e-10,1.4120708940010616e-14,7.6065858968069495,1.2158852403799405,1.952e-25,2.9642e-21
PRKX,3.317417053632482e-10,2.1783551471747863e-14,7.550317567855798,3.247246436524431,3.3061e-45,5.0286e-41
GYLTL1B,3.958323773167628e-10,2.5992013744616378e-14,7.527274474518088,3.5994335571897684,2.9205e-9,4.3217e-5
ZFY,5.297750256380773e-10,3.4787249697161813e-14,7.48910150594333,1.1819204707060655,2.0222e-23,3.0691e-19
TTTY15,5.874863227299589e-10,3.857681546588475e-14,7.4755137705250325,1.1779887541309475,1.7302e-21,2.625e-17
ZFX,7.204615295936354e-10,4.730852515553453e-14,7.448630976187106,4.135947356152743,1.7487e-45,2.6599e-41
EIF1AX,7.566433400765291e-10,4.968437455358389e-14,7.442161099772999,3.2572552417434686,2.2716e-50,3.4587e-46
CA5B,7.594915143130319e-10,4.9871397617245516e-14,7.4416647866604375,3.9211960455324393,7.7377e-46,1.1771e-41
SCAI,8.810639887348178e-10,5.785435607950737e-14,7.422025042004201,4.9209168280022855,7.2111e-4,1
BCORP1,1.517475980962302e-9,9.964383616536227e-14,7.349680261142244,1.1505770314134647,4.6824e-24,7.1088e-20
CYorf15B,4.055135713510054e-9,2.6627721541204634e-13,7.2171084409918125,1.1530452117068788,7.0958e-25,1.0774e-20
CYorf15A,1.1712306555872222e-8,7.69079161853846e-13,7.0713679763391015,1.1075779252464002,1.561e-23,2.3693e-19
EIF2S3,2.970539088058707e-8,1.9505805292919476e-12,6.941060271350239,4.292049405599028,3.6868e-50,5.6128e-46
FRG1B,7.317379388153294e-8,4.804898147057124e-12,6.812554259350895,1.7538186231849071,8.8284e-16,1.3357e-11
NR1H3,9.606409952872938e-8,6.307971602122883e-12,6.773296257730248,2.7914720289832426,0.52557,1
XIST,9.820493016813097e-8,6.448547519084048e-12,6.770107614233763,1.1218850493094086,5.3009e-27,8.051e-23
DSTYK,1.3736908014034673e-7,9.020229833892359e-12,6.721374711784091,5.1422503895903855,0.091954,1
AMN,1.60579959801957e-7,1.0544353523012477e-11,6.698589306753743,2.333400260818938,2.7549e-9,4.0775e-5
RPS4Y2,1.0637926880302897e-6,6.985308871431411e-11,6.416485235374727,0.9639028962882549,4.8807e-34,7.4192e-30
HECW2,4.684480748189416e-6,3.0760264943130973e-10,6.186729705556064,2.1428027384187067,0.0039798,1
TTTY10,6.018093339909851e-6,3.9517324446187214e-10,6.14709443021675,0.9276267682055906,2.9629e-31,4.5027e-27
ZFHX3,7.883285370920114e-6,5.176495745564458e-10,6.104106090434767,2.5737087280715296,1.432e-9,2.1244e-5
H2AFV,1.3977109471140185e-5,9.177956183032494e-10,6.011950218357366,6.118588340168976,0.03252,1
CA5BP,1.4908571643608677e-5,9.78959330462189e-10,6.001483980698058,2.6509740464413296,1.7294e-51,2.6336e-47
MCART6,2.2746254111309308e-5,1.493614427165888e-9,5.932514734852645,1.9919679796171914,0.039702,1
TMSB4Y,2.637708814524053e-5,1.7320302150660273e-9,5.908156525731766,1.030832266150877,1.4331e-39,2.1791e-35
RNF157,3.1627590466946266e-5,2.076800214521391e-9,5.878167743478085,2.9594986214146064,3.6983e-5,0.49905
ZNF254,3.742514127222658e-5,2.4574917113550843e-9,5.850232789699945,2.8481936746104335,1.4339e-10,2.1401e-6
NOS3,6.838377087591953e-5,4.490365150431383e-9,5.749132202817455,2.3802027883802084,1.2536e-22,1.9025e-18
FAM53B,9.736264528286182e-5,6.3932395615511074e-9,5.689085171034018,4.4748144273425154,6.4671e-9,9.5371e-5
MLF2,9.741705591804573e-5,6.396812392018236e-9,5.6889897431293655,4.6636040206517535,2.4725e-9,3.6613e-5
KIAA1737,1.0752988504820168e-4,7.060863158986256e-9,5.67209572025397,3.891034712504768,0.0027697,1
TTTY14,1.2742755977496783e-4,8.367427918771281e-9,5.64294353446947,0.868178740070222,9.8575e-32,1.4981e-27
RAI1,1.546229938527606e-4,1.0153194159351277e-8,5.6095539021928555,3.8533618166718173,4.0916e-11,6.128e-7
OPLAH,2.98205970493898e-4,1.9581454494313348e-8,5.494758128559015,1.5993914832582559,2.9034e-40,4.4154e-36
DPY19L4,3.0632226385795224e-4,2.0114404350774985e-8,5.490016515688025,3.126267610693367,0.013766,1
RAB33B,3.7044652250433117e-4,2.4325072066736565e-8,5.456343728108732,3.459305865796562,0.28869,1
MCOLN3,4.4150406444907705e-4,2.8991008237512446e-8,5.425081589881768,1.166000352523785,1.2072e-10,1.8032e-6
C9orf41,4.5264243764113845e-4,2.972240052801487e-8,5.4206290772985755,2.9301214462626017,0.047068,1
FAM113B,6.861234826571894e-4,4.505374500342697e-8,5.345780403287026,2.884854234942243,3.1665e-6,0.044477
TMCC3,7.941448603664969e-4,5.2146881631525176e-8,5.319236063504821,3.313046027608099,5.7946e-8,8.452e-4
SOCS1,9.404997846199096e-4,6.175715967035982e-8,5.288371382378057,1.619814631931712,3.9254e-4,1
KIAA0895L,0.0011329542646218629,7.439452784961999e-8,5.254203098179568,2.4220812137009027,1.0956e-7,0.0015909
KDM6A,0.0012842776730349044,8.433105739279693e-8,5.2310764119806015,2.733727283531199,4.0826e-49,6.2133e-45
ZCCHC18,0.0013396421999250687,8.796652438932751e-8,5.223269025596249,2.1254614179103055,0.22003,1
ZNF584,0.0017159006088426272,1.126732292890293e-7,5.177257366342139,2.279351485689322,0.68545,1
LOC220594,0.0020643234553767266,1.3555213443934117e-7,5.142643647804293,0.7549568161785191,0.049503,1
ZNF558,0.003359020679483665,2.2056738324799166e-7,5.050427008371098,3.087891479274159,0.0042175,1
CENPO,0.0033957538445928987,2.2297943690281035e-7,5.048348897654347,3.4365508491897407,1.3845e-7,0.0020061
CAV2,0.0034181221333611056,2.2444823254062023e-7,5.047094050544676,0.8956744602266944,1.6586e-4,1
GPR15,0.003442683720593644,2.2606104935279033e-7,5.045725252948199,1.0987228889094725,0.10072,1
ZZZ3,0.003574002761333744,2.346840082299392e-7,5.038563073830602,5.116234207993552,0.33218,1
MAP7D2,0.0035830365760208035,2.3527720638392563e-7,5.038079743289783,0.8582019065578494,1.4137e-46,2.1509e-42
KDM5C,0.003971139956036245,2.60761701755614e-7,5.0183526712016215,3.2252425167878713,1.3009e-49,1.9801e-45
C1orf151,0.004348201446068928,2.855211403289072e-7,5.00089278554306,2.98202292421508,0.37329,1
HDHD1,0.004580572109434871,3.0077957248899276e-7,4.990846134919932,1.99782970155462,5.1611e-46,7.8516e-42
CEBPE,0.005423752375671576,3.5614632449087764e-7,4.958109451467878,1.1559037333591238,0.0058188,1
HM13,0.005829543055746368,3.827922421528904e-7,4.944068785675842,3.112217133960316,4.7058e-9,6.949e-5
MTX3,0.005873594019461204,3.856848131499904e-7,4.942601664561569,4.037680179391767,6.2304e-7,0.0089094
PPP6R1,0.00739503060765832,4.855887193944658e-7,4.8975136813648055,5.056389654187985,3.6335e-7,0.0052217
CRBN,0.010277576337874116,6.748687594637938e-7,4.8324051173127565,4.7486889526992355,2.6021e-5,0.35334
NRG2,0.01184001150539135,7.774648043464016e-7,4.804160080519579,0.8820367290540105,0.75585,1
CXorf36,0.012122971242194374,7.960451272043058e-7,4.799431411351001,0.8119193622575289,1.8764e-51,2.8572e-47
UPP1,0.01244919371248258,8.174662625571332e-7,4.794109682993208,2.220180482868524,2.7597e-7,0.0039754
PLAC4,0.013632539440357796,8.951697051912664e-7,4.775869867570788,0.9094227847549754,0.024214,1
PLCH2,0.015174543645267933,9.964241673956224e-7,4.754261192068163,1.4862451749257872,2.7195e-7,0.003918
ZNF311,0.021817337539353127,1.4326178698110925e-6,4.680359204608717,1.0224077204731334,0.84178,1
CDCA3,0.02280454858149522,1.4974422865253937e-6,4.671277686500795,1.121036825983938,0.069998,1
THEM4,0.02295391478827495,1.5072502980021638e-6,4.669936603847669,2.360558625925942,0.065743,1
SHPK,0.02763231298832103,1.814453541816339e-6,4.631681883990116,2.5258111004592227,0.9558,1
CEP135,0.02876672974460469,1.8889441030011617e-6,4.623346026716853,3.3098269790948383,2.6048e-4,1
PLAA,0.030663699198947094,2.013507071964482e-6,4.610086561215756,4.145379225364968,1.6843e-5,0.23039
ADAMDEC1,0.031271013366446464,2.0533858668623328e-6,4.60600737779284,0.9819865324892645,0.0069126,1
BRP44L,0.04135092176362821,2.7152749204562485e-6,4.547527250798231,3.1303347578986545,0.062203,1
IL7R,0.045219839001055605,2.9693242498559068e-6,4.5286599915175465,2.6654373024486855,1.5833e-6,0.022436
X6.Sep,0.04533827591944738,2.9771013145608626e-6,4.528107128832204,3.1224745431369394,9.2224e-50,1.4038e-45
SNORD50A,0.046630760290681014,3.061971258170662e-6,4.52216206736532,0.8980122967624672,0.88223,1
