att,beta.gene.mdd,beta.Z.att.x,pval.gene.mdd,p.adj.gene.mdd,beta.gene.sex.mdd,beta.Z.att.y,pval.gene.sex.mdd,p.adj.gene.sex.mdd,beta.gene.sex,beta.Z.att,pval.gene.sex,p.adj.gene.sex
TTTY10,-8.40296711,-3.68198284,2.3143e-4,0.027568,7.16507806,1.63242674,0.10259,0.50623,-181.0169138,-11.62819637,2.9629e-31,1.3673e-28
VPS26B,-51.51519589,-3.685821972,2.2797e-4,0.027568,-38.30474015,-2.69000894,0.007145,0.26934,-102.18552814,-6.27004646,3.6094e-10,1.6167e-8
ZFX,28.04585602,3.688985546,2.2515e-4,0.027568,-10.79704448,-0.86678041,0.38606,0.77202,443.71049835,14.15462591,1.7487e-45,1.4016e-42
ZNF254,23.55266726,3.681460473,2.319e-4,0.027568,17.33779378,2.63933607,0.0083069,0.28621,47.37281662,6.41224575,1.4339e-10,7.1597e-9
CCNI,-30.80393019,-3.669484182,2.4304e-4,0.027829,-25.78945802,-3.02234944,0.0025082,0.20729,-37.9829613,-4.16533855,3.1089e-5,2.7982e-4
BCORP1,-8.32295836,-3.653001524,2.5919e-4,0.028812,10.1247788,2.12145851,0.033883,0.37016,-227.02225972,-10.1162014,4.6824e-24,1.4856e-21
C19orf63,-44.18188264,-3.65726873,2.5492e-4,0.028812,-44.12060621,-3.59331519,3.265e-4,0.14249,-8.63127411,-0.67261282,0.50119,0.64342
CCDC69,-32.92081773,-3.654480317,2.577e-4,0.028812,-26.50782574,-2.89201418,0.0038278,0.24391,-48.51129421,-4.80796826,1.5247e-6,2.2093e-5
TUBE1,33.01480787,3.655960693,2.5622e-4,0.028812,25.84647423,2.80432707,0.0050422,0.2567,52.98838904,5.29696575,1.1774e-7,2.5008e-6
POFUT1,-38.44928103,-3.643513769,2.6894e-4,0.029191,-31.29361807,-2.91754562,0.003528,0.23717,-54.63099531,-4.6078221,4.0691e-6,5.0046e-5
SRSF5,-34.16388324,-3.642247698,2.7027e-4,0.029191,-34.75436104,-3.63772041,2.7506e-4,0.14045,-3.53101745,-0.35572276,0.72205,0.81828
YWHAB,-34.95873334,-3.644320501,2.681e-4,0.029191,-31.89933345,-3.27815668,0.0010449,0.18073,-25.96657029,-2.52356968,0.011617,0.036863
ZNF292,35.0804096,3.646386799,2.6595e-4,0.029191,29.89872508,3.07163467,0.0021289,0.19847,38.68514498,3.68935668,2.2482e-4,0.0014514
MYBPC3,16.87119554,3.628150098,2.8546e-4,0.02993,16.42751673,3.4730973,5.1449e-4,0.16408,6.12310804,1.23375744,0.21729,0.35522
PDHB,-36.42593736,-3.626818416,2.8693e-4,0.02993,-32.26778477,-3.16476556,0.0015521,0.1853,-33.11882898,-3.0355538,0.0024009,0.010358
PKI55,-23.16525288,-3.630165962,2.8324e-4,0.02993,-20.71185427,-3.20671642,0.0013426,0.18073,-18.85018478,-2.82946301,0.0046626,0.017699
RNASEH1,-25.15573046,-3.630736347,2.8261e-4,0.02993,-24.39477112,-3.47239785,5.1583e-4,0.16408,-9.10634667,-1.24096223,0.21462,0.35224
TPM3,-44.48375734,-3.631255326,2.8205e-4,0.02993,-38.88971419,-3.13979379,0.0016907,0.18589,-43.26491975,-3.24211058,0.0011865,0.0058081
MTMR14,-41.74406419,-3.624950963,2.8902e-4,0.029942,-31.65017248,-2.68700095,0.0072097,0.27043,-76.94831351,-5.80237656,6.5382e-9,2.053e-7
HMGB3,-14.73371024,-3.622260363,2.9204e-4,0.030051,-14.27433266,-3.44260568,5.7614e-4,0.16408,-6.07499411,-1.48381784,0.13786,0.25383
RCN1,-24.02266545,-3.620034752,2.9456e-4,0.030107,-21.11095564,-3.14215361,0.0016771,0.18589,-22.39446108,-3.09770944,0.0019502,0.0087097
FAM168B,-43.80767098,-3.609733274,3.0651e-4,0.031119,-34.54680921,-2.8072912,0.004996,0.2567,-71.36568283,-5.14799889,2.6328e-7,4.9257e-6
RAB7A,-41.29342333,-3.601927342,3.1587e-4,0.031857,-37.62331977,-3.22916875,0.0012415,0.18073,-31.25836472,-2.53856653,0.011131,0.035664
GLE1,-41.84853256,-3.594330662,3.2523e-4,0.032372,-37.21224676,-3.15700441,0.001594,0.1853,-37.27194516,-2.92399048,0.0034558,0.013886
KIAA0895L,22.07303208,3.595455091,3.2382e-4,0.032372,17.20628028,2.74715857,0.0060114,0.26024,36.76696256,5.31011094,1.0956e-7,2.3523e-6
C12orf53,13.03271494,3.590003767,3.3067e-4,0.0327,12.67154289,3.43011038,6.0334e-4,0.16408,4.88935848,1.27017286,0.20402,0.33946
DGKE,29.33174017,3.582438055,3.404e-4,0.033306,24.71867861,2.97568001,0.0029234,0.224,34.44753041,3.86805801,1.0971e-4,8.0984e-4
RAB35,-47.09597167,-3.581848202,3.4117e-4,0.033306,-43.02993805,-3.22248513,0.0012708,0.18073,-34.79008626,-2.44969639,0.014298,0.043461
SAP18,-33.03230103,-3.572943438,3.5299e-4,0.03424,-34.60656035,-3.67248814,2.402e-4,0.14045,2.4123002,0.24733113,0.80465,0.87591
KIAA1737,-33.45575839,-3.565038947,3.638e-4,0.035065,-29.63173198,-3.10661482,0.0018924,0.19498,-30.90436662,-2.9922062,0.0027697,0.011577
ALG10B,23.28650536,3.558467244,3.7303e-4,0.035728,20.87064487,3.14661646,0.0016517,0.18589,19.02884981,2.73934951,0.0061561,0.022085
RAB5C,-43.40641804,-3.548929569,3.868e-4,0.036816,-41.03947004,-3.30586467,9.4684e-4,0.18073,-22.71365446,-1.73812077,0.08219,0.17229
AEN,31.28384287,3.545231433,3.9227e-4,0.037105,24.70992017,2.74474441,0.0060558,0.26024,50.76106096,5.01290727,5.3614e-7,8.9527e-6
MICALL1,-30.69200953,-3.54298029,3.9563e-4,0.037192,-26.71946848,-3.0767704,0.0020926,0.19847,-27.41109248,-3.00997951,0.0026127,0.011061
ANXA9,-25.30382407,-3.535725413,4.0666e-4,0.037667,-22.17934341,-3.08015617,0.0020689,0.19816,-23.02336831,-2.99408042,0.0027527,0.011523
ARIH1,-52.74593743,-3.534631809,4.0834e-4,0.037667,-47.18214425,-3.13274153,0.0017318,0.18705,-42.84210945,-2.68777754,0.0071929,0.025113
HPN,10.36278428,3.535508151,4.0699e-4,0.037667,9.3831625,3.157543,0.001591,0.1853,7.88788891,2.51866377,0.01178,0.037173
PLXNA4,13.10802264,3.533189125,4.1058e-4,0.037667,12.44766721,3.3064912,9.4472e-4,0.18073,6.43236446,1.61893886,0.10546,0.20807
DAP,-25.94684255,-3.527522585,4.1947e-4,0.037816,-24.29474502,-3.2600413,0.001114,0.18073,-14.52932978,-1.88759718,0.05908,0.13272
SUV420H1,-41.13610715,-3.527405547,4.1965e-4,0.037816,-31.29106622,-2.63145592,0.008502,0.28861,-74.64595922,-5.55006692,2.8556e-8,7.4722e-7
TNFRSF8,-20.87615663,-3.529930939,4.1567e-4,0.037816,-16.73952531,-2.78568044,0.0053416,0.2567,-30.69774399,-4.65477789,3.2433e-6,4.1506e-5
EIF4E2,-33.83895133,-3.520462111,4.308e-4,0.038077,-32.88444175,-3.3681999,7.5661e-4,0.1794,-12.13752308,-1.17867725,0.23853,0.37985
TMEM14A,23.84791921,3.519721411,4.32e-4,0.038077,19.88245258,2.89268537,0.0038196,0.24391,29.28904405,3.98172633,6.8417e-5,5.4751e-4
UBE2E2,-29.0472325,-3.518056273,4.3472e-4,0.038077,-22.36029257,-2.64907777,0.0080712,0.28192,-50.67295592,-5.37261224,7.7604e-8,1.754e-6
WNT10A,15.14816583,3.523271608,4.2625e-4,0.038077,11.38022838,2.57372318,0.010061,0.30202,27.89280524,5.86417643,4.5137e-9,1.4943e-7
ZFHX3,-20.01523691,-3.517850876,4.3506e-4,0.038077,-14.78651962,-2.53669675,0.01119,0.30666,-39.51443603,-6.0518369,1.432e-9,5.4981e-8
NOS3,19.73547924,3.51067641,4.4697e-4,0.038675,10.93233223,1.82366444,0.068203,0.45126,68.94804789,9.78913608,1.2536e-22,3.5355e-20
X6.Sep,31.90593077,3.512126031,4.4454e-4,0.038675,0.02608395,0.0021626,0.99827,0.99935,337.10834925,14.83108916,9.2224e-50,1.7556e-46
HEPH,8.81842823,3.508958075,4.4987e-4,0.038706,-0.17476318,-0.052039,0.9585,0.99082,89.17506224,15.32230211,5.4261e-53,8.2634e-49
TTF1,-28.07165483,-3.507172215,4.529e-4,0.038748,-25.50825005,-3.13664799,0.0017089,0.18589,-21.39489481,-2.46838875,0.013572,0.041714
CLPX,-35.2924714,-3.503344275,4.5946e-4,0.03909,-29.14915752,-2.85357623,0.004323,0.25229,-47.10691816,-4.13166571,3.6014e-5,3.1777e-4
CBX1,-26.86375964,-3.493922655,4.7598e-4,0.039931,-23.80029159,-3.04918133,0.0022947,0.20317,-24.36050182,-2.90292538,0.0036969,0.014708
MFNG,-37.90810728,-3.495310436,4.7351e-4,0.039931,-29.95630883,-2.70702425,0.0067889,0.26492,-59.34147045,-4.88625247,1.0277e-6,1.5841e-5
ODF2L,29.4976487,3.493233472,4.7721e-4,0.039931,22.02631933,2.54755542,0.010848,0.30595,55.46096472,5.82816909,5.6039e-9,1.8196e-7
DLEC1,18.01058934,3.483836955,4.9428e-4,0.04047,13.7365147,2.59277889,0.0095204,0.29679,32.15769829,5.5172198,3.444e-8,8.727e-7
IGFBP2,8.19973589,3.484775373,4.9255e-4,0.04047,7.18414115,2.9993686,0.0027054,0.21378,8.0049232,3.16355968,0.0015585,0.0072362
PCBP2,-38.51604381,-3.486135526,4.9005e-4,0.04047,-27.66992672,-2.4358837,0.014855,0.31685,-83.39444088,-6.45195694,1.1041e-10,5.8794e-9
ZNF768,-32.13457827,-3.486079167,4.9016e-4,0.04047,-23.3951724,-2.46892081,0.013552,0.31644,-66.16458046,-6.21555925,5.1142e-10,2.2064e-8
DNAJB5,-13.06414248,-3.46649821,5.2729e-4,0.041819,-11.49726989,-2.99893273,0.0027093,0.21378,-12.35403895,-3.05792358,0.0022288,0.0097506
FOXN3,-35.57007533,-3.4597291,5.4072e-4,0.041819,-28.27037628,-2.71784894,0.0065708,0.26492,-55.7035898,-4.77466084,1.8001e-6,2.5407e-5
GNB1,-48.3761441,-3.461556642,5.3706e-4,0.041819,-36.44154556,-2.57933531,0.0098991,0.29911,-93.61186732,-5.65537545,1.5551e-8,4.4683e-7
GPM6B,16.07700185,3.459604799,5.4097e-4,0.041819,13.06046453,2.80709377,0.0049991,0.2567,21.58731975,4.17454228,2.9859e-5,2.7115e-4
GRK5,-29.11710229,-3.472091728,5.1642e-4,0.041819,-28.8336576,-3.38477339,7.1237e-4,0.17785,-7.26931215,-0.81404793,0.41562,0.56563
HLA.DMB,-25.57530384,-3.464676075,5.3087e-4,0.041819,-23.57675562,-3.15702226,0.0015939,0.1853,-16.60074264,-2.09862223,0.03585,0.090526
PGCP,-29.68679303,-3.465467103,5.2931e-4,0.041819,-27.61075542,-3.18145306,0.0014654,0.1853,-18.13833656,-1.97559767,0.0482,0.11396
PKN1,-35.96695685,-3.464693234,5.3084e-4,0.041819,-28.48867623,-2.70385709,0.006854,0.26492,-55.15908313,-4.7723294,1.8211e-6,2.5631e-5
RCSD1,-29.94680887,-3.470261895,5.1995e-4,0.041819,-25.64690064,-2.93264721,0.0033609,0.23361,-32.46873672,-3.43883274,5.8423e-4,0.0032283
SPPL3,-42.67114068,-3.462767667,5.3465e-4,0.041819,-34.69898133,-2.77231457,0.0055659,0.25774,-61.82946201,-4.46997325,7.8229e-6,8.6723e-5
TMEM20,12.41502694,3.460387719,5.394e-4,0.041819,10.56470931,2.8953929,0.0037868,0.24391,13.80580617,3.62674213,2.8702e-4,0.0017921
ABHD2,-29.05897793,-3.451249703,5.58e-4,0.042492,-20.09541485,-2.34006998,0.01928,0.33384,-70.24458315,-7.00805219,2.4166e-12,2.0082e-10
B3GNT9,21.23900959,3.449069424,5.6252e-4,0.042492,15.13547455,2.39029164,0.016835,0.32485,45.63186498,6.44882301,1.1272e-10,5.9396e-9
PILRA,-29.33590821,-3.450141056,5.6029e-4,0.042492,-29.08363928,-3.36490374,7.657e-4,0.1794,-7.13661043,-0.78668374,0.43147,0.58056
SDK1,-9.63519982,-3.448967107,5.6274e-4,0.042492,-8.59205047,-3.03233216,0.0024267,0.20646,-8.27957106,-2.73285802,0.0062787,0.022472
TRIM69,13.90137579,3.448541095,5.6362e-4,0.042492,12.66875669,3.09968524,0.0019373,0.19498,10.05691362,2.33065514,0.019772,0.056218
SERTAD2,-31.42453903,-3.446636637,5.6761e-4,0.042582,-24.81894365,-2.67713568,0.0074255,0.27447,-49.76510677,-4.85389719,1.2106e-6,1.819e-5
BRP44L,-31.47765038,-3.44269843,5.7594e-4,0.042785,-29.48897518,-3.17388972,0.0015041,0.1853,-18.23604681,-1.86484826,0.062203,0.13807
SPTY2D1,-46.57689538,-3.443689166,5.7384e-4,0.042785,-42.9355399,-3.13698015,0.001707,0.18589,-30.68209672,-2.12171323,0.033862,0.086698
CD300LF,-25.1396426,-3.439925336,5.8187e-4,0.042809,-18.36267553,-2.46373108,0.01375,0.31644,-50.8412262,-5.9791711,2.2428e-9,8.171e-8
HAVCR2,-24.17734093,-3.441114418,5.7932e-4,0.042809,-18.425994,-2.56060451,0.010449,0.30327,-43.82230519,-5.43990871,5.3308e-8,1.2778e-6
TMSB4Y,-8.26303699,-3.438026779,5.8597e-4,0.042903,5.97367148,1.46220337,0.14369,0.55947,-170.92033396,-13.16298747,1.4331e-39,9.0933e-37
ATG12,45.01007533,3.432789322,5.9741e-4,0.043401,40.98741402,3.09644318,0.0019586,0.19498,30.96712757,2.23501475,0.025416,0.068873
CACNB3,15.427614,3.432301326,5.9848e-4,0.043401,10.80365395,2.32973853,0.01982,0.33384,34.65285277,6.6836408,2.3308e-11,1.5104e-9
RARG,30.04264388,3.427754005,6.086e-4,0.043718,30.6696066,3.44022471,5.8123e-4,0.16408,2.18521875,0.23374813,0.81518,0.88296
SLC35A2,-35.94578138,-3.428498101,6.0693e-4,0.043718,-26.9758459,-2.51788795,0.011806,0.30666,-66.59160464,-5.59567759,2.1976e-8,5.9896e-7
FFAR2,17.84835533,3.423746865,6.1764e-4,0.04416,11.21625943,2.05951064,0.039445,0.3868,52.41619987,8.12102928,4.6225e-16,7.3329e-14
NRBP1,-39.34414215,-3.420766432,6.2445e-4,0.044438,-33.467126,-2.8636195,0.0041883,0.25112,-46.28305095,-3.60875894,3.0767e-4,0.0018997
GK,20.59396363,3.418033787,6.3075e-4,0.044501,12.25280247,1.94089309,0.052271,0.41822,68.3490171,8.74395654,2.2509e-18,4.8969e-16
RAP2B,-44.47186116,-3.417852802,6.3117e-4,0.044501,-42.0159444,-3.20208813,0.0013644,0.18073,-21.36662051,-1.55833494,0.11915,0.22765
CTDSP2,-33.17481145,-3.415828711,6.3588e-4,0.044626,-22.8249416,-2.29744507,0.021593,0.34716,-81.31370801,-6.93627044,4.0259e-12,3.1603e-10
ARL5A,25.68982693,3.412205185,6.444e-4,0.045004,25.29452622,3.31279852,9.2367e-4,0.18073,7.22339783,0.90370641,0.36615,0.51818
DBNL,-30.10040325,-3.409491704,6.5084e-4,0.045004,-22.28396518,-2.47160364,0.013451,0.31644,-60.91875,-5.82117479,5.8435e-9,1.882e-7
IRF7,16.25014421,3.408548732,6.5309e-4,0.045004,12.66749857,2.61633242,0.008888,0.29415,28.69658599,4.94642164,7.559e-7,1.2079e-5
SAMD8,40.78773367,3.40876123,6.5259e-4,0.045004,32.59423077,2.67252399,0.0075283,0.27463,60.48463595,4.59138772,4.4031e-6,5.305e-5
A1BG.AS1,16.79507015,3.406033249,6.5914e-4,0.045014,13.59926708,2.71153532,0.0066972,0.26492,22.91079655,4.35740342,1.3161e-5,1.3362e-4
MAPKAPK3,-27.25021694,-3.406162682,6.5883e-4,0.045014,-20.4643206,-2.50253972,0.012331,0.31074,-49.99941686,-5.54300927,2.9732e-8,7.7004e-7
IL2RA,17.73032702,3.404480825,6.629e-4,0.045068,16.31395441,3.08758098,0.0020179,0.19581,11.8767539,2.13041354,0.033137,0.085202
DCUN1D4,33.54865025,3.401698659,6.6968e-4,0.045327,25.60217299,2.54248257,0.011007,0.30644,58.47877589,5.28280963,1.2722e-7,2.6395e-6
GTF3C5,-40.88343951,-3.400371529,6.7294e-4,0.045346,-35.19489519,-2.89251154,0.0038218,0.24391,-42.96972154,-3.28047353,0.0010363,0.0051967
HMGN2,-27.14618803,-3.398072713,6.7862e-4,0.045528,-26.52533742,-3.24812402,0.0011617,0.18073,-10.56254444,-1.29155927,0.19651,0.33017
STAC3,-23.12928894,-3.392952162,6.9144e-4,0.046184,-20.64262878,-2.97610347,0.0029194,0.224,-20.2980011,-2.71787966,0.0065702,0.023275
ALKBH5,-44.39968409,-3.384253333,7.1372e-4,0.046883,-36.30270142,-2.72247319,0.0064795,0.26455,-61.62686631,-4.21773207,2.4677e-5,2.3017e-4
ANP32C,-16.4186918,-3.380636304,7.2318e-4,0.046883,-15.93709364,-3.2404135,0.0011936,0.18073,-5.76741645,-1.10853955,0.26763,0.41311
C7orf42,-54.12375029,-3.383518644,7.1563e-4,0.046883,-43.77999224,-2.70912989,0.006746,0.26492,-77.33157345,-4.32541894,1.5224e-5,1.5191e-4
LOC729513,17.28639164,3.380532025,7.2346e-4,0.046883,16.1145413,3.11105512,0.0018642,0.19445,10.01675661,1.84761155,0.064659,0.14238
PRDM1,22.69221659,3.381383385,7.2122e-4,0.046883,17.84793698,2.60671051,0.0091417000000000009,0.29495,35.91320204,4.80440887,1.5521e-6,2.2447e-5
QARS,-40.64570502,-3.38549259,7.1051e-4,0.046883,-26.63444591,-2.13886509,0.032447,0.36766,-109.32795517,-7.46714426,8.1954e-14,8.979e-12
VAV2,-29.16662836,-3.385263216,7.111e-4,0.046883,-24.20059977,-2.76194867,0.0057458,0.25812,-37.61025328,-3.94319558,8.0403e-5,6.2472e-4
CD274,11.44534862,3.370737446,7.4967e-4,0.04757,5.78517226,1.59842105,0.10995,0.51521,51.3871939,10.24826575,1.2049e-24,3.904e-22
LOC100131176,11.20274994,3.370945478,7.4911e-4,0.04757,9.29556905,2.75196007,0.005924,0.26024,14.07141996,3.88843303,1.0089e-4,7.5245e-4
PABPC3,-38.41177164,-3.373196529,7.4301e-4,0.04757,-31.10350642,-2.69776754,0.0069806,0.26644,-53.60561009,-4.23385531,2.2972e-5,2.1608e-4
SLC37A2,-25.42457068,-3.371193058,7.4843e-4,0.04757,-21.7179204,-2.8389485,0.0045262,0.25664,-28.25301873,-3.39858603,6.7735e-4,0.0036386
ZNF267,34.72894894,3.372530752,7.4481e-4,0.04757,30.3706797,2.90623362,0.0036581,0.24146,33.32417207,3.00702245,0.0026382,0.011142
RAB1B,-40.2505425,-3.36595728,7.6279e-4,0.048201,-36.57751728,-3.01401429,0.0025782,0.20884,-30.15282859,-2.33091473,0.019758,0.056189
MAFK,-37.80783875,-3.364166341,7.6775e-4,0.048314,-34.5215813,-3.02116001,0.0025181,0.20729,-27.67907603,-2.28789655,0.022144,0.061593
MAP7,-13.53747486,-3.36086609,7.7698e-4,0.048495,-10.16221149,-2.46606737,0.013661,0.31644,-24.86264604,-5.47801983,4.3011e-8,1.0616e-6
PRSS27,11.23635984,3.361503796,7.7519e-4,0.048495,11.54155402,3.40699697,6.5682e-4,0.17246,0.0886005,0.02486438,0.98016,0.98891
AFG3L2,-35.23158215,-3.35817093,7.846e-4,0.048535,-27.86163288,-2.6026074,0.0092518,0.29521,-56.17266297,-4.70705765,2.5132e-6,3.384e-5
C6orf47,-37.44072383,-3.352878885,0.00079976000000000005,0.048535,-36.6704909,-3.23564835,0.0012137,0.18073,-11.79070266,-0.98679895,0.32374000000000003,0.47338
CBX8,-21.55509922,-3.354041817,7.964e-4,0.048535,-16.92068849,-2.58595807,0.0097109,0.29891,-33.99672072,-4.74382259,2.0972e-6,2.8799e-5
CSNK1G3,31.79549375,3.352815519,7.9994e-4,0.048535,28.51613356,2.96187801,0.0030577,0.2241,26.12476863,2.57936886,0.0098981,0.032501
CTRL,21.21665569,3.355672094,7.9172e-4,0.048535,17.60994236,2.73154316,0.0063038,0.2623,27.30810073,3.94603664,7.9455e-5,6.1956e-4
OFD1,28.16804407,3.358823719,7.8275e-4,0.048535,18.21387236,2.08744522,0.036848,0.38252,73.36985889,7.5893267,3.2157e-14,3.7963e-12
PIGS,-41.7136454,-3.353032902,7.9931e-4,0.048535,-33.98640264,-2.69182841,0.0071061,0.2692,-58.89245795,-4.21962176,2.4471e-5,2.2849e-4
FAM155B,8.06004511,3.351494819,8.0377e-4,0.048574,6.19305155,2.52646785,0.011522,0.30666,13.97838513,5.09540707,3.4799e-7,6.2129e-6
ENO2,25.25447009,3.349241877,8.1033e-4,0.048585,22.63600376,2.96157019,0.0030607,0.2241,20.61297628,2.54150782,0.011038,0.035417
TTTY14,-7.61182513,-3.349662449,8.091e-4,0.048585,10.76264499,2.39149118,0.01678,0.32485,-186.99474118,-11.72178314,9.8575e-32,4.6912e-29
TRIM25,22.74893084,3.347840638,8.1444e-4,0.04864,16.66258472,2.39343626,0.016691,0.32485,45.97418202,5.83060255,5.5228e-9,1.801e-7
RAB3D,-28.52968155,-3.345985746,8.1991e-4,0.048775,-27.45952612,-3.17932959,0.0014762,0.1853,-11.53974089,-1.27703372,0.20159,0.33644
MID1IP1,-25.25764501,-3.33915154,8.4035e-4,0.049582,-22.51716958,-2.92256246,0.0034716,0.23611,-22.38929566,-2.73177967,0.0062993,0.022519
PTAR1,30.60716176,3.338196549,8.4324e-4,0.049582,24.35297397,2.61867099,0.0088273,0.29388,44.82690846,4.45375965,8.438e-6,9.193e-5
RTN1,-18.79147354,-3.339087056,8.4054e-4,0.049582,-13.20133612,-2.29039464,0.021998,0.34863,-44.97492897,-6.39040608,1.6545e-10,8.1277e-9
ZNF681,18.96541824,3.336147007,8.4948e-4,0.049757,15.70392516,2.72448994,0.0064401,0.26455,23.84864507,3.85093499,1.1767e-4,8.5822e-4
