att,beta.gene.sex,pval.gene.sex,p.bon.gene.sex
AFF1,49.32017121,2.1232e-7,0.00323342128
MYO1E,-35.85962941,2.1537e-7,0.00327986973
UBE2L6,27.96525629,2.1825e-7,0.0033237292500000004
AP2A1,-41.03406517,2.1897e-7,0.00333469413
ZCCHC2,32.30703508,2.1992e-7,0.00334916168
IFI6,19.29991962,2.2248e-7,0.00338814792
PLD1,-40.72048499,2.2596e-7,0.00344114484
TRAF1,42.3550918,2.2615e-7,0.00344403835
ACOX3,-49.67285871,2.2921e-7,0.00349063909
UBE2MP1,-56.07501266,2.3529e-7,0.00358323141
AACS,-51.523235,2.3573e-7,0.0035899321700000003
TSPYL5,-26.35008886,2.3592e-7,0.0035928256800000003
GALM,32.87885014,2.3704e-7,0.0036098821600000002
MREG,32.81505495,2.3976e-7,0.0036513050400000004
ZMYM4,-79.0042676,2.4162e-7,0.00367963098
C1orf127,-23.97333443,2.4364e-7,0.0037103935599999997
NONO,-70.26204793,2.4615e-7,0.0037486183500000003
KHDRBS1,-66.24495076,2.4724e-7,0.0037652179599999996
KIAA0368,-55.64955637,2.4828e-7,0.00378105612
TBC1D8,-37.0027904,2.4955e-7,0.0038003969500000003
GIGYF2,-67.56620504,2.503e-7,0.0038118187
S100A11,47.77404616,2.569e-7,0.0039123301
LYSMD2,39.28451167,2.5787e-7,0.00392710223
PYGM,35.8828703,2.5813e-7,0.00393106177
CTDSP1,-69.75477775,2.5888e-7,0.00394248352
BIRC3,47.87217554,2.5955e-7,0.00395268695
OLFM2,38.24678401,2.6126e-7,0.00397872854
FAM168B,-71.36568283,2.6328e-7,0.00400949112
SPECC1L,-64.27554669,2.6385e-7,0.00401817165
ANO10,-43.84754133,2.6417e-7,0.0040230449300000005
FCGR2A,39.13304991,2.6472e-7,0.00403142088
ATP5B,-58.5900708,2.6564e-7,0.00404543156
CTPS2,-46.28768407,2.6626e-7,0.00405487354
CECR1,-48.99609562,2.6857e-7,0.00409005253
PHF20,-67.49254158,2.7154e-7,0.0041352826600000005
ZNF746,-59.33182257,2.7161e-7,0.00413634869
PLCH2,-24.23332794,2.7195e-7,0.00414152655
COQ10A,52.25372904,2.7531e-7,0.00419269599
UPP1,36.81618417,2.7597e-7,0.00420274713
C14orf102,-45.91018234,2.7643e-7,0.00420975247
ZNF592,-72.11703516,2.8041e-7,0.00427036389
ST8SIA4,56.48995683,2.8076e-7,0.00427569404
FBP1,-33.42478883,2.8531e-7,0.00434498599
PRRC2B,-67.28320995,2.8575e-7,0.004351686749999999
C20orf118,37.78345382,2.8871e-7,0.00439676459
ZDHHC23,37.25578268,2.8881e-7,0.00439828749
BRF1,-77.77326148,2.9292e-7,0.0044608786800000005
UQCRC2,-62.27061828,3.0377e-7,0.004626113330000001
PANK4,-61.29740441,3.1308e-7,0.00476789532
LCOR,46.42988306,3.1541e-7,0.0048033788899999996
KIAA0319,24.7560707,3.1671e-7,0.00482317659
ITGB4,19.27307468,3.1998e-7,0.00487297542
UBAP2L,-66.59299232,3.2599e-7,0.00496450171
FGF9,20.16882606,3.2633e-7,0.00496967957
PDXK,-43.95573426,3.3028e-7,0.00502983412
FIBP,-66.31090581,3.3114e-7,0.005042931059999999
SAMSN1,46.01200949,3.3828e-7,0.00515166612
MMP9,-25.35730874,3.3859e-7,0.0051563871100000006
AMPD2,-40.34229502,3.3934e-7,0.00516780886
STK10,-66.08568417,3.4204e-7,0.005208927160000001
PLCB3,-50.75312562,3.429e-7,0.0052220241
G6PD,-46.68665233,3.4534e-7,0.00525918286
EXOC3L,19.87415158,3.4666e-7,0.00527928514
PRPF8,-61.1228768,3.4688e-7,0.00528263552
BRD3,-48.58812967,3.4693e-7,0.00528339697
KCMF1,-75.5996894,3.4745e-7,0.00529131605
FAM155B,13.97838513,3.4799e-7,0.00529953971
RGS16,18.11192969,3.4858e-7,0.00530852482
S100Z,-29.82310072,3.4966e-7,0.00532497214
NUMA1,-56.15235283,3.5734e-7,0.00544193086
BATF2,17.79691279,3.5918e-7,0.00546995222
LEPRE1,-63.48596166,3.6134e-7,0.00550284686
PPP6R1,-75.42561521,3.6335e-7,0.00553345715
ZNF185,-24.88364994,3.6526e-7,0.00556254454
RNF144B,-36.75816397,3.6681e-7,0.00558614949
INO80B,-60.55369853,3.6766e-7,0.00559909414
DCLRE1B,-53.86199437,3.6966e-7,0.00562955214
BFSP1,20.2841174,3.7457e-7,0.00570432653
MAST3,-48.31895905,3.7816e-7,0.00575899864
LOC255512,-21.95432284,3.8015e-7,0.005789304350000001
NUDT3,-50.57514526,3.8062e-7,0.00579646198
ZNF628,-46.30961957,3.9348e-7,0.00599230692
ITFG3,-65.02935131,3.9447e-7,0.00600738363
ATXN10,-65.02396144,3.9504e-7,0.00601606416
BAP1,-95.56618308,3.9511e-7,0.00601713019
HOXC4,19.46898967,3.962e-7,0.0060337298
SORCS3,-18.14633111,3.9625e-7,0.00603449125
AHNAK2,-22.72582533,4.0355e-7,0.006145662949999999
UPF1,-63.46730794,4.053e-7,0.0061723137
RHOA,-69.79830415,4.0549e-7,0.00617520721
LDHD,-19.27688061,4.056e-7,0.0061768824
FGD2,-46.79404467,4.0927e-7,0.00623277283
DNAH6,19.01011442,4.0951e-7,0.00623642779
GBP1,25.49865021,4.178e-7,0.0063626762
ARL6IP5,74.54085189,4.1985e-7,0.00639389565
POLDIP2,-72.49349253,4.234e-7,0.0064479585999999995
TRAPPC9,-43.85535485,4.2753e-7,0.00651085437
ATP6AP1,-56.07069298,4.2764e-7,0.00651252956
CRISP3,-15.27313589,4.2932e-7,0.00653811428
RNF187,-29.2297678,4.3417e-7,0.006611974929999999
FAM193A,-68.83958046,4.3617e-7,0.00664243293
NMI,35.67009971,4.442e-7,0.006764721800000001
ZFP36L2,-51.44413473,4.5109e-7,0.0068696496099999995
LOC390940,-16.80976504,4.6265e-7,0.00704569685
FGFR1OP,33.00498137,4.6438e-7,0.00707204302
EFTUD2,-57.17484703,4.6501e-7,0.00708163729
STAT4,48.94927094,4.6504e-7,0.00708209416
DHRS7B,-51.91627603,4.6583e-7,0.0070941250699999995
SNX17,-70.24579186,4.7315e-7,0.00720560135
PROK2,29.4000403,4.738e-7,0.007215500200000001
BCAS3,-52.31723649,4.7463e-7,0.00722814027
C22orf36,-20.0964414,4.7516e-7,0.007236211639999999
MIR766,14.21389972,4.8599e-7,0.007401141710000001
KIAA0513,-44.56983999,4.8702e-7,0.007416827579999999
UHRF1BP1L,-65.53731298,4.8918e-7,0.00744972222
X3.Mar,27.13072541,4.9426e-7,0.007527085540000001
HUWE1,-58.74945713,4.9627e-7,0.007557695830000001
LOC439949,26.63622489,4.9643e-7,0.0075601324700000005
C2orf18,-61.74220875,4.9776e-7,0.00758038704
DOCK1,-22.2837074,5.0407e-7,0.00767648203
VAMP5,28.82049568,5.0556e-7,0.007699173240000001
SNX9,-59.22257538,5.1196e-7,0.00779663884
SNX20,58.98615015,5.2221e-7,0.00795273609
TTC28,-26.81188469,5.2272e-7,0.00796050288
RAB11FIP5,27.15625822,5.2459e-7,0.00798898111
AEN,50.76106096,5.3614e-7,0.00816487606
CASP6,55.1146138,5.3838e-7,0.00819898902
LARP1,-55.45849036,5.5212e-7,0.00840823548
ETV7,14.51290797,5.5814e-7,0.00849991406
KCNC4,31.80983274,5.5837e-7,0.008503416730000001
LLGL2,47.23606023,5.685e-7,0.008657686500000001
CD80,15.638352,5.7228e-7,0.00871525212
FAM49A,-54.535582,5.7801e-7,0.008802514289999999
KLHL18,-65.90191884,5.7956e-7,0.00882611924
INPP5A,-52.20265312,5.8299e-7,0.00887835471
ERC1,-53.17457894,5.8447e-7,0.00890089363
PNPLA2,-35.32201973,5.8841e-7,0.00896089589
GJD3,-26.68714727,5.9732e-7,0.009096586280000001
KCNE1,-24.58082961,6.0079e-7,0.009149430909999999
SYTL1,-60.03414546,6.0307e-7,0.00918415303
KDM4B,-58.62311839,6.0929e-7,0.009278877409999999
ELOVL1,-77.53515146,6.1674e-7,0.009392333460000001
HDAC5,-53.46522985,6.2244e-7,0.00947913876
MTX3,56.07039484,6.2304e-7,0.009488276160000001
PLIN4,28.25820553,6.2967e-7,0.00958924443
RELB,36.937156709999996,6.3231e-7,0.009629448990000001
KDM4A,-59.99527549,6.4129e-7,0.009766205410000001
C16orf74,-29.53061844,6.4528e-7,0.00982696912
GCA,50.84924945,6.4872e-7,0.009879356879999999
MAML3,-48.40476119,6.5199e-7,0.00992915571
NDST1,-31.59078148,6.5817e-7,0.01002327093
JAK3,33.83054329,6.5907e-7,0.01003697703
SCAF1,-56.15430531,6.7103e-7,0.01021911587
NOTCH2,-52.11338136,6.7289e-7,0.01024744181
EFNA1,19.24781291,6.7482e-7,0.01027683378
ACN9,39.73010344,6.7811e-7,0.01032693719
AP3D1,-64.79953514,6.8552e-7,0.01043978408
SSTR3,23.73305859,6.8813e-7,0.01047953177
DHCR7,-43.47853796,6.9062e-7,0.01051745198
THEM5,19.22188906,6.9109e-7,0.01052460961
GLYR1,-65.69182145,6.9516e-7,0.01058659164
EPS15L1,-57.06978753,7.0438e-7,0.010727003019999999
UROS,-40.93120335,7.2187e-7,0.01099335823
FLJ35390,-36.22767948,7.4094e-7,0.01128377526
DOCK4,21.83687355,7.4393e-7,0.01132930997
KIAA0913,-62.43139951,7.4865e-7,0.011401190850000001
IRF7,28.69658599,7.559e-7,0.011511601100000001
C10orf47,-21.91359539,7.6455e-7,0.011643331949999999
KANK1,20.00869053,7.6801e-7,0.011696024289999999
NUP93,-48.42222685,7.6856e-7,0.01170440024
ATF6,36.83885325,7.6893e-7,0.01171003497
SFRS15,-57.36477633,7.8008e-7,0.01187983832
SH3RF1,-25.46997677,7.8265e-7,0.01191897685
SPATA6,-29.37471162,7.9843e-7,0.01215929047
MKL1,-62.73113263,8.0658e-7,0.01228340682
DDB1,-61.50122728,8.0775e-7,0.01230122475
NDUFS1,-60.07653591,8.1891e-7,0.01247118039
SNX30,-60.88960596,8.3105e-7,0.01265606045
SYVN1,-59.35200629,8.4525e-7,0.01287231225
LOC283875,-27.51106244,8.4591e-7,0.01288236339
AGFG2,47.854068409999996,8.5968e-7,0.01309206672
CLIP2,-45.11390768,8.6396e-7,0.01315724684
CCR1,26.79614269,8.8471e-7,0.01347324859
USP9X,61.79845068,8.8756e-7,0.01351665124
APOBEC3G,43.43631881,8.9837e-7,0.013681276729999999
TP53I3,-25.77739336,9.0139e-7,0.01372726831
SRCAP,-58.82236666,9.1866e-7,0.01399027314
RNF149,52.13659844,9.2022e-7,0.01401403038
CA11,38.52785085,9.239e-7,0.014070073099999999
OAF,-35.99674227,9.2816e-7,0.01413494864
CYP4F3,-31.14245106,9.3024e-7,0.01416662496
PARP12,33.11684627,9.3241e-7,0.01419967189
SNX29,-49.78372893,9.4834e-7,0.01444226986
ACADS,-61.99472401,9.5251e-7,0.01450577479
WWP2,-59.50456082,9.5718e-7,0.01457689422
RBM15B,-69.44016233,9.625e-7,0.014657912500000002
SETX,-59.33274642,9.676e-7,0.014735580400000002
STARD9,35.29281263,9.8442e-7,0.01499173218
CCDC146,23.03224478,9.8927e-7,0.01506559283
EIF3B,-50.69994457,1.0072e-6,0.015338648800000002
KIAA1377,29.55283264,1.0184e-6,0.0155092136
MFNG,-59.34147045,1.0277e-6,0.015650843299999998
PRIM1,45.40035206,1.0387e-6,0.0158183623
GYS1,-64.78022854,1.0542e-6,0.0160544118
LY86.AS1,14.49054165,1.0656e-6,0.0162280224
SND1,-53.80836122,1.077e-6,0.016401633
PPAP2A,35.60251929,1.0793e-6,0.016436659699999998
VOPP1,43.10260159,1.0817e-6,0.0164732093
EIF4A2,71.64490276,1.0833e-6,0.0164975757
HECTD1,-81.8958705,1.085e-6,0.016523465
PTPRH,13.59119458,1.0954e-6,0.016681846599999998
PRSS36,-32.95055118,1.0979e-6,0.016719919099999998
ARHGAP31,-45.07283003,1.1106e-6,0.0169133274
CARD9,-38.07495249,1.1192e-6,0.0170442968
GLTP,-56.13753856,1.1243e-6,0.0171219647
CD84,37.82887006,1.1308e-6,0.0172209532
CARD8,52.78207372,1.1436e-6,0.017415884399999998
ARL8A,-63.40198616,1.1463e-6,0.017457002699999998
SLC7A6,68.48067147,1.1512e-6,0.017531624800000003
DVL3,-64.58434219,1.1517e-6,0.0175392393
EVC,-18.61343924,1.1653e-6,0.017746353700000002
COASY,-75.6089587,1.1811e-6,0.0179869719
LYVE1,19.55070758,1.189e-6,0.018107281
ITPRIPL2,-38.60326771,1.1945e-6,0.0181910405
ARL2BP,-78.04507588,1.1971e-6,0.0182306359
LOC400931,-24.84102993,1.2007e-6,0.0182854603
SERTAD2,-49.76510677,1.2106e-6,0.018436227399999998
SP100,47.1827785,1.2111e-6,0.0184438419
ADRBK1,-82.15476389,1.2163e-6,0.018523032699999997
ALDOA,-56.2051942,1.2237e-6,0.018635727300000002
AAMP,-52.77754932,1.2296e-6,0.0187255784
CCDC109B,58.03722832,1.2329e-6,0.018775834100000003
ZG16B,16.54909468,1.2372e-6,0.0188413188
CTSE,13.22691881,1.243e-6,0.018929647
MYST1,-58.87830788,1.2565e-6,0.0191352385
CYLD,76.38437275,1.2648e-6,0.0192616392
DCTN1,-51.46103185,1.2671e-6,0.0192966659
MEF2C,-42.18676215,1.2732e-6,0.0193895628
NKD1,19.97662502,1.2758e-6,0.019429158199999998
CPSF3,-52.43619147,1.287e-6,0.019599723
DTX3L,36.84392373,1.3063e-6,0.019893642700000002
SH3BP1,-41.20039114,1.3132e-6,0.0199987228
ZNF780B,46.2225068,1.3136e-6,0.0200048144
PACSIN1,-25.07248297,1.3155e-6,0.0200337495
PROM1,-14.41655338,1.3418e-6,0.0204342722
TC2N,55.36082237,1.3662e-6,0.0208058598
ADNP,-78.02960001,1.3682e-6,0.0208363178
FAM57A,-21.2687427,1.3688e-6,0.020845455199999998
TUBGCP3,-65.73934421,1.3734e-6,0.0209155086
SF3A1,-52.61230149,1.3934e-6,0.021220088600000003
BRPF1,-66.79297657,1.4134e-6,0.0215246686
MAP2K4,-69.82358372,1.4237e-6,0.0216815273
MGRN1,-38.37824943,1.4273e-6,0.0217363517
GSTK1,49.70782838,1.4332e-6,0.021826202800000003
ADCK3,-36.40196604,1.4399e-6,0.0219282371
STX5,-62.24136115,1.4783e-6,0.022513030700000002
NLRC3,58.9114742,1.4784e-6,0.022514553599999997
GPRC5B,16.73689159,1.481e-6,0.022554149000000003
RPS6KA4,-52.90210201,1.4823e-6,0.0225739467
OTX1,-20.9101547,1.4845e-6,0.022607450499999997
ANXA3,22.47565867,1.4997e-6,0.0228389313
SH2D3A,56.87038267,1.5091e-6,0.022982083900000002
ANXA11,-49.19761131,1.5094e-6,0.022986652599999997
UBR4,-55.13847612,1.5223e-6,0.0231831067
CCDC69,-48.51129421,1.5247e-6,0.0232196563
C6orf136,-63.4670936,1.5319e-6,0.023329305100000003
PRDM1,35.91320204,1.5521e-6,0.0236369309
TKT,-45.97581917,1.5584e-6,0.0237328736
PCCB,-45.22380471,1.5588e-6,0.0237389652
PFAS,-52.78176853,1.561e-6,0.023772469
C9orf86,-68.40213591,1.5775e-6,0.024023747499999998
NRSN2,-28.6534662,1.5779e-6,0.0240298391
IL7R,40.75715378,1.5833e-6,0.0241120757
VPS18,-49.48144642,1.6167e-6,0.024620724299999997
TTLL12,-51.45522571,1.6227e-6,0.0247120983
APBA3,59.00066542,1.6251e-6,0.0247486479
PPP1R12C,-72.55027639,1.6272e-6,0.0247806288
CXCL5,15.93976424,1.6275e-6,0.0247851975
MCOLN2,23.15408445,1.6399e-6,0.0249740371
RAB40C,-57.45315415,1.6403e-6,0.0249801287
CSDC2,-11.04186551,1.6515e-6,0.0251506935
PPP1R12B,-32.85423156,1.6771e-6,0.0255405559
SPTLC2,-55.66324049,1.6892e-6,0.0257248268
VPS54,-66.26908082,1.698e-6,0.025858842
RTN4RL2,-20.73596448,1.7016e-6,0.0259136664
CCDC39,30.41568396,1.7186e-6,0.0261725594
ZNF354B,37.07471421,1.7189e-6,0.0261771281
ELMO2,-61.16528926,1.7231e-6,0.0262410899
WDR1,-58.79649692,1.7444e-6,0.0265654676
FBXO41,-47.33643631,1.7563e-6,0.0267466927
C3orf59,20.96744514,1.7677e-6,0.0269203033
SLC38A10,-47.67654776,1.7722e-6,0.0269888338
FOXN3,-55.7035898,1.8001e-6,0.0274137229
DDX19B,-50.62772773,1.8075e-6,0.0275264175
UBE2M,-57.62122081,1.8089e-6,0.0275477381
PKN1,-55.15908313,1.8211e-6,0.0277335319
EIF2C1,-56.23832686,1.8336e-6,0.0279238944
C1orf115,21.55045302,1.8354e-6,0.0279513066
YPEL2,-62.5580529,1.8532e-6,0.0282223828
RENBP,-41.92817099,1.8583e-6,0.028300050700000003
AK2,-61.08032018,1.8688e-6,0.0284599552
COL13A1,-15.45715048,1.8696e-6,0.0284721384
PAK2,-55.6452301,1.8855e-6,0.0287142795
GLB1L,-19.32542129,1.8916e-6,0.0288071764
CYBB,-44.90607993,1.9166e-6,0.0291879014
PRKACB,41.56859502,1.9224e-6,0.0292762296
STARD7,-60.71367971,1.9309e-6,0.0294056761
HSPA6,26.94983867,1.9559e-6,0.029786401100000002
ATP2A2,-63.33121837,1.9708e-6,0.0300133132
PARP14,23.69248477,1.9753e-6,0.0300818437
OCRL,-43.40443212,1.9809e-6,0.0301671261
C9orf64,-46.63230214,1.988e-6,0.030275252
CLEC4G,-15.74454229,1.9978e-6,0.0304244962
CD3E,45.38243871,2.0084e-6,0.030585923600000002
FBRSL1,-59.80068885,2.0101e-6,0.0306118129
RYR1,-25.49197492,2.0157e-6,0.0306970953
MYCN,-14.51980831,2.0265e-6,0.0308615685
MAMLD1,16.48940079,2.0291e-6,0.030901163900000004
GCET2,37.51714703,2.055e-6,0.031295594999999996
LASS2,-63.1396,2.0599e-6,0.0313702171
IMPACT,-55.04635073,2.0697e-6,0.031519461299999996
CAMK4,37.39036474,2.0928e-6,0.0318712512
CBX8,-33.99672072,2.0972e-6,0.0319382588
ST6GALNAC1,15.49550321,2.0993e-6,0.0319702397
C13orf23,-63.89497709,2.1202e-6,0.0322885258
TRRAP,-57.81773093,2.1345e-6,0.0325063005
RNF212,-17.31690757,2.1652e-6,0.0329738308
CDV3,-58.53015307,2.1774e-6,0.0331596246
PRPF19,-48.56944934,2.1822e-6,0.0332327238
GIMAP2,39.52849081,2.2302e-6,0.033963715799999995
REPIN1,-65.3636348,2.2851e-6,0.0347997879
C13orf15,33.7854941,2.3104e-6,0.0351850816
HIVEP3,-29.68244158,2.3118e-6,0.0352064022
NAB2,-42.75855498,2.3124e-6,0.0352155396
KIAA1967,-60.29655986,2.3143e-6,0.0352444747
CHST14,-53.57581059,2.3495e-6,0.0357805355
X2.Mar,-20.62454657,2.3549e-6,0.0358627721
RBM12,-82.23535308,2.363e-6,0.035986127
ZNF57,36.03205218,2.3778e-6,0.0362115162
KCNH7,22.63767589,2.3811e-6,0.036261771899999996
AFF3,-45.49839583,2.3824e-6,0.0362815696
MAPKAPK2,-52.34369782,2.4077e-6,0.0366668633
C1GALT1,43.28274477,2.4223e-6,0.0368892067
COPS3,-38.05736557,2.4782e-6,0.037740507799999996
AFG3L2,-56.17266297,2.5132e-6,0.0382735228
ARRB1,-38.1443936,2.524e-6,0.038437995999999995
UQCRC1,-55.50435347,2.5279e-6,0.0384973891
LOC400680,12.86012379,2.558e-6,0.038955782
DUSP8,22.64732559,2.5601e-6,0.0389877629
SPHK2,-65.53719052,2.5791e-6,0.0392771139
XYLT1,-45.49393251,2.5821e-6,0.039322800899999996
LPPR3,-12.99245961,2.5967e-6,0.0395451443
EMR3,-37.09659679,2.6007e-6,0.039606060299999996
ZNF300,22.8541861,2.6184e-6,0.039875613600000005
SLC5A9,-18.03300674,2.6246e-6,0.0399700334
LAMP3,18.81883696,2.6262e-6,0.0399943998
KLF3,-63.52870273,2.6491e-6,0.0403431439
BAI2,22.76198182,2.6533e-6,0.0404071057
TNIP3,15.06811404,2.6681e-6,0.040632494899999996
IQSEC1,-60.78093599,2.6895e-6,0.040958395499999994
FADS1,-22.95075531,2.6903e-6,0.040970578699999996
OTUD3,43.64905044,2.6904e-6,0.040972101600000005
KIAA0090,-55.23203056,2.7114e-6,0.0412919106
IFI16,33.66219756,2.7145e-6,0.0413391205
COMT,-45.66032469,2.7189e-6,0.0414061281
NR4A1,-20.63472172,2.7229e-6,0.041467044099999996
S1PR3,-25.22026593,2.7326e-6,0.041614765399999996
LOC100129066,13.38581457,2.7438e-6,0.0417853302
AMOT,31.66057111,2.7581e-6,0.0420031049
CECR5,-50.55046815,2.766e-6,0.042123414
CCNB3,-17.62860805,2.781e-6,0.042351849000000004
EPM2A,-40.37599924,2.7879e-6,0.0424569291
CPT2,-51.31263677,2.7939e-6,0.042548303100000004
ATG4B,-67.81814077,2.8139e-6,0.042852883099999996
FAM105A,-64.47606632,2.8193e-6,0.042935119699999996
LOC730102,-30.76586785,2.8197e-6,0.0429412113
SEPW1,40.24762523,2.8386e-6,0.043229039399999995
TMEM156,35.93382164,2.8506e-6,0.0434117874
SMARCD2,-60.60693797,2.8831e-6,0.0439067299
CD40,32.19279309,2.8851e-6,0.0439371879
DEGS2,-16.34573222,2.9172e-6,0.044426038800000005
LOC728743,50.5307706,2.938e-6,0.044742802
MED22,-59.19663025,2.9391e-6,0.0447595539
LOC643008,15.1372318,2.9417e-6,0.0447991493
PHF13,-46.50753274,2.9681e-6,0.0452011949
C14orf132,-16.87888201,2.9723e-6,0.045265156699999996
LSM2,49.7909007,2.9827e-6,0.045423538299999996
RPL36,38.45875625,2.9827e-6,0.045423538299999996
NFIC,-41.58173942,2.9926e-6,0.0455743054
CST3,-34.39634901,3.0625e-6,0.0466388125
TLN1,-46.4148667,3.0931e-6,0.047104819900000004
CAPRIN2,45.59045686,3.113e-6,0.047407877
PC,32.95069291,3.1212e-6,0.0475327548
ZC4H2,39.03089889,3.1399e-6,0.0478175371
MYO9B,-55.1342516,3.1635e-6,0.0481769415
AGPAT3,-55.79596693,3.1638e-6,0.0481815102
APH1A,-68.60312247,3.1657e-6,0.0482104453
FAM113B,37.55769157,3.1665e-6,0.0482226285
IPO5,-72.4454258,3.1707e-6,0.0482865903
TNNI2,-28.40433038,3.1764e-6,0.0483733956
FPGS,-59.20532327,3.1873e-6,0.0485393917
PLD6,30.93772557,3.2047e-6,0.0488043763
PRRG4,21.27926591,3.2062e-6,0.0488272198
TNFRSF8,-30.69774399,3.2433e-6,0.0493922157
